time(ms),T1,R1,T2,R2,,
701.51,103.27,9.73,102.55,9.7,,Heater 1
701.53,103.39,9.74,102.57,9.71,,32.95813268
701.54,103.44,9.74,102.55,9.71,,-215.0
701.57,103.25,9.61,102.71,9.8,,
701.58,103.44,9.61,102.74,9.8,,Heater 2
701.61,103.4,9.61,102.72,9.8,,33.15728727
701.62,103.44,9.61,102.74,9.8,,-219.8
701.65,103.4,9.72,102.75,9.79,,
701.66,103.45,9.72,102.54,9.79,,
701.69,103.4,9.74,102.55,9.72,,
701.7,103.44,9.74,102.72,9.72,,
701.72,103.64,9.74,102.51,9.71,,
701.73,103.59,9.74,102.77,9.71,,
701.76,103.21,9.61,102.74,9.8,,
701.77,103.44,9.61,102.74,9.8,,
701.8,103.39,9.61,102.75,9.72,,
701.81,103.44,9.61,102.72,9.72,,
701.84,103.6,9.72,102.55,9.79,,
701.85,103.25,9.72,102.55,9.79,,
701.88,103.4,9.74,102.71,9.71,,
701.89,103.45,9.74,102.75,9.71,,
701.92,103.42,9.74,102.89,9.72,,
701.93,103.53,9.74,102.72,9.72,,
701.95,103.21,9.6,102.74,9.8,,
701.97,103.42,9.6,102.54,9.8,,
701.99,103.4,9.74,102.72,9.71,,
702,103.24,9.74,102.74,9.71,,
702.03,103.42,9.74,102.74,9.8,,
702.04,103.42,9.74,102.92,9.8,,
702.07,103.42,9.61,102.74,9.8,,
702.08,103.25,9.61,102.54,9.8,,
702.11,103.19,9.61,102.72,9.8,,
702.12,103.39,9.61,102.95,9.8,,
702.14,103.19,9.73,102.74,9.79,,
702.16,103.47,9.73,102.74,9.79,,
702.18,103.37,9.61,102.94,9.71,,
702.19,103.48,9.61,102.74,9.71,,
702.22,103.4,9.6,102.79,9.8,,
702.23,103.07,9.6,102.79,9.8,,
702.26,103.4,9.73,102.75,9.79,,
702.27,103.22,9.73,102.94,9.79,,
702.3,103.45,9.62,102.72,9.81,,
702.31,103.44,9.62,102.75,9.81,,
702.33,103.24,9.61,102.77,9.72,,
702.35,103.44,9.61,102.92,9.72,,
702.37,103.4,9.73,102.95,9.79,,
702.39,103.44,9.73,102.74,9.79,,
702.41,103.25,9.62,102.92,9.81,,
702.42,103.25,9.62,102.92,9.81,,
702.45,103.44,9.74,102.91,9.72,,
702.46,103.4,9.74,102.94,9.72,,
702.49,103.37,9.61,102.74,9.8,,
702.5,103.44,9.61,102.92,9.8,,
702.53,103.42,9.73,102.79,9.71,,
702.54,103.59,9.73,102.94,9.71,,
702.56,103.27,9.61,102.75,9.8,,
702.58,103.48,9.61,102.95,9.8,,
702.6,103.33,9.73,102.91,9.7,,
702.61,103.62,9.73,102.95,9.7,,
702.64,103.37,9.61,102.92,9.81,,
702.65,103.25,9.61,102.77,9.81,,
702.68,103.02,9.61,103.05,9.8,,
702.69,103.44,9.61,102.92,9.8,,
702.72,103.4,9.73,102.92,9.79,,
702.73,103.4,9.73,102.75,9.79,,
702.75,103.42,9.74,102.74,9.72,,
702.77,103.42,9.74,102.95,9.72,,
702.79,103.6,9.61,102.95,9.72,,
702.8,103.44,9.61,103.12,9.72,,
702.83,103.4,9.61,102.57,9.71,,
702.84,103.29,9.61,102.95,9.71,,
702.87,103.33,9.72,102.95,9.79,,
702.88,103.42,9.72,103.14,9.79,,
702.91,103.24,9.61,102.92,9.71,,
702.92,103.44,9.61,102.85,9.71,,
702.95,103.39,9.73,102.92,9.8,,
702.96,103.3,9.73,102.74,9.8,,
702.98,103.42,9.61,102.95,9.81,,
703,103.22,9.61,102.92,9.81,,
703.02,103.24,9.74,102.94,9.8,,
703.03,103.45,9.74,103.12,9.8,,
703.06,103.42,9.61,102.94,9.8,,
703.07,103.29,9.61,102.94,9.8,,
703.1,103.25,9.61,103.14,9.71,,
703.11,103.24,9.61,102.97,9.71,,
703.14,103.25,9.73,102.94,9.79,,
703.15,103.42,9.73,102.77,9.79,,
703.17,103.44,9.62,102.74,9.81,,
703.19,103.45,9.62,103.15,9.81,,
703.21,103.22,9.62,103.12,9.81,,
703.22,103.38,9.62,103.12,9.81,,
703.25,103.39,9.73,102.97,9.79,,
703.26,103.45,9.73,102.92,9.79,,
703.29,103.45,9.61,102.77,9.8,,
703.3,103.33,9.61,103.15,9.8,,
703.33,103.53,9.6,102.94,9.8,,
703.34,103.45,9.6,102.97,9.8,,
703.36,103.37,9.73,102.95,9.79,,
703.38,103.47,9.73,102.79,9.79,,
703.4,103.42,9.74,103,9.72,,
703.41,103.44,9.74,102.95,9.72,,
703.44,103.45,9.74,102.94,9.71,,
703.45,103.42,9.74,103.15,9.71,,
703.48,103.45,9.61,102.83,9.8,,
703.49,103.47,9.61,103.14,9.8,,
703.52,103.39,9.61,102.99,9.71,,
